1.2,1.08,0.972,0.8748
1.08,0.972,0.8748,0.7873
0.972,0.8748,0.7873,0.7086
0.8748,0.7873,0.7086,0.6377
0.7873,0.7086,0.6377,0.5739
0.7086,0.6377,0.5739,0.5165
0.6377,0.5739,0.5165,0.4648
0.5739,0.5165,0.4648,0.4183
0.5165,0.4648,0.4183,0.3765
0.4648,0.4183,0.3765,0.3388
0.4183,0.3765,0.3388,0.3049
0.3765,0.3388,0.3049,0.2744
0.3388,0.3049,0.2744,0.247
0.3049,0.2744,0.247,0.2223
0.2744,0.247,0.2223,0.2001
0.247,0.2223,0.2001,0.2135
0.2223,0.2001,0.2135,0.2605
0.2001,0.2135,0.2605,0.3454
0.2135,0.2605,0.3454,0.4494
0.2605,0.3454,0.4494,0.5487
0.3454,0.4494,0.5487,0.6312
0.4494,0.5487,0.6312,0.6942
0.5487,0.6312,0.6942,0.7391
0.6312,0.6942,0.7391,0.7684
0.6942,0.7391,0.7684,0.7845
0.7391,0.7684,0.7845,0.7897
0.7684,0.7845,0.7897,0.786
0.7845,0.7897,0.786,0.7752
0.7897,0.786,0.7752,0.7587
0.786,0.7752,0.7587,0.7377
0.7752,0.7587,0.7377,0.7133
0.7587,0.7377,0.7133,0.6864
0.7377,0.7133,0.6864,0.6578
0.7133,0.6864,0.6578,0.6347
0.6864,0.6578,0.6347,0.6233
0.6578,0.6347,0.6233,0.63
0.6347,0.6233,0.63,0.6568
0.6233,0.63,0.6568,0.7006
0.63,0.6568,0.7006,0.7555
0.6568,0.7006,0.7555,0.8153
0.7006,0.7555,0.8153,0.8747
0.7555,0.8153,0.8747,0.9306
0.8153,0.8747,0.9306,0.9817
0.8747,0.9306,0.9817,1.0279
0.9306,0.9817,1.0279,1.0693
0.9817,1.0279,1.0693,1.1061
1.0279,1.0693,1.1061,1.1382
1.0693,1.1061,1.1382,1.1652
1.1061,1.1382,1.1652,1.1866
1.1382,1.1652,1.1866,1.2021
1.1652,1.1866,1.2021,1.2115
1.1866,1.2021,1.2115,1.216
1.2021,1.2115,1.216,1.218
1.2115,1.216,1.218,1.221
1.216,1.218,1.221,1.2283
1.218,1.221,1.2283,1.2417
1.221,1.2283,1.2417,1.26
1.2283,1.2417,1.26,1.2783
1.2417,1.26,1.2783,1.2891
1.26,1.2783,1.2891,1.2853
1.2783,1.2891,1.2853,1.264
1.2891,1.2853,1.264,1.2263
1.2853,1.264,1.2263,1.1761
1.264,1.2263,1.1761,1.1176
1.2263,1.1761,1.1176,1.0548
1.1761,1.1176,1.0548,0.9908
1.1176,1.0548,0.9908,0.928
1.0548,0.9908,0.928,0.8681
0.9908,0.928,0.8681,0.8123
0.928,0.8681,0.8123,0.7612
0.8681,0.8123,0.7612,0.7148
0.8123,0.7612,0.7148,0.6725
0.7612,0.7148,0.6725,0.6331
0.7148,0.6725,0.6331,0.5954
0.6725,0.6331,0.5954,0.5586
0.6331,0.5954,0.5586,0.523
0.5954,0.5586,0.523,0.4896
0.5586,0.523,0.4896,0.46
0.523,0.4896,0.46,0.4362
0.4896,0.46,0.4362,0.4208
0.46,0.4362,0.4208,0.4175
0.4362,0.4208,0.4175,0.4311
0.4208,0.4175,0.4311,0.466
0.4175,0.4311,0.466,0.5231
0.4311,0.466,0.5231,0.5967
0.466,0.5231,0.5967,0.6767
0.5231,0.5967,0.6767,0.7534
0.5967,0.6767,0.7534,0.821
0.6767,0.7534,0.821,0.877
0.7534,0.821,0.877,0.9213
0.821,0.877,0.9213,0.9545
0.877,0.9213,0.9545,0.9775
0.9213,0.9545,0.9775,0.9911
0.9545,0.9775,0.9911,0.9964
0.9775,0.9911,0.9964,0.9946
0.9911,0.9964,0.9946,0.9871
0.9964,0.9946,0.9871,0.9756
0.9946,0.9871,0.9756,0.9622
0.9871,0.9756,0.9622,0.9495
0.9756,0.9622,0.9495,0.9408
0.9622,0.9495,0.9408,0.9399
0.9495,0.9408,0.9399,0.9504
0.9408,0.9399,0.9504,0.974
0.9399,0.9504,0.974,1.0093
0.9504,0.974,1.0093,1.0507
0.974,1.0093,1.0507,1.0898
1.0093,1.0507,1.0898,1.119
1.0507,1.0898,1.119,1.135
1.0898,1.119,1.135,1.1388
1.119,1.135,1.1388,1.1337
